start;payout_offer;payout_accept;fee
20272;195974743;4025257;300000
20273;195960144;4039856;300000
20274;195945546;4054454;300000
20275;195930949;4069051;300000
20276;195916354;4083646;300000
20277;195901761;4098239;300000
20278;195887168;4112832;300000
20279;195872578;4127422;300000
20280;195857988;4142012;300000
20281;195843400;4156600;300000
20282;195828814;4171186;300000
20283;195814229;4185771;300000
20284;195799645;4200355;300000
20285;195785063;4214937;300000
20286;195770482;4229518;300000
20287;195755903;4244097;300000
20288;195741325;4258675;300000
20289;195726748;4273252;300000
20290;195712173;4287827;300000
20291;195697600;4302400;300000
20292;195683028;4316972;300000
20293;195668457;4331543;300000
20294;195653888;4346112;300000
20295;195639320;4360680;300000
20296;195624754;4375246;300000
20297;195610189;4389811;300000
20298;195595625;4404375;300000
20299;195581063;4418937;300000
20300;195566502;4433498;300000
20301;195551943;4448057;300000
20302;195537385;4462615;300000
20303;195522829;4477171;300000
20304;195508274;4491726;300000
20305;195493721;4506279;300000
20306;195479169;4520831;300000
20307;195464618;4535382;300000
20308;195450069;4549931;300000
20309;195435521;4564479;300000
20310;195420975;4579025;300000
20311;195406430;4593570;300000
20312;195391887;4608113;300000
20313;195377345;4622655;300000
20314;195362804;4637196;300000
20315;195348265;4651735;300000
20316;195333727;4666273;300000
20317;195319191;4680809;300000
20318;195304656;4695344;300000
20319;195290123;4709877;300000
20320;195275591;4724409;300000
20321;195261060;4738940;300000
20322;195246531;4753469;300000
20323;195232003;4767997;300000
20324;195217477;4782523;300000
20325;195202952;4797048;300000
20326;195188429;4811571;300000
20327;195173907;4826093;300000
20328;195159386;4840614;300000
20329;195144867;4855133;300000
20330;195130349;4869651;300000
20331;195115833;4884167;300000
20332;195101318;4898682;300000
20333;195086805;4913195;300000
20334;195072293;4927707;300000
20335;195057782;4942218;300000
20336;195043273;4956727;300000
20337;195028765;4971235;300000
20338;195014259;4985741;300000
20339;194999754;5000246;300000
20340;194985251;5014749;300000
20341;194970749;5029251;300000
20342;194956248;5043752;300000
20343;194941749;5058251;300000
20344;194927251;5072749;300000
20345;194912755;5087245;300000
20346;194898260;5101740;300000
20347;194883767;5116233;300000
20348;194869275;5130725;300000
20349;194854784;5145216;300000
20350;194840295;5159705;300000
20351;194825807;5174193;300000
20352;194811321;5188679;300000
20353;194796836;5203164;300000
20354;194782352;5217648;300000
20355;194767870;5232130;300000
20356;194753390;5246610;300000
20357;194738910;5261090;300000
20358;194724433;5275567;300000
20359;194709956;5290044;300000
20360;194695481;5304519;300000
20361;194681008;5318992;300000
20362;194666536;5333464;300000
20363;194652065;5347935;300000
20364;194637596;5362404;300000
20365;194623128;5376872;300000
20366;194608661;5391339;300000
20367;194594196;5405804;300000
20368;194579733;5420267;300000
20369;194565271;5434729;300000
20370;194550810;5449190;300000
20371;194536351;5463649;300000
20372;194521893;5478107;300000
20373;194507436;5492564;300000
20374;194492981;5507019;300000
20375;194478528;5521472;300000
20376;194464075;5535925;300000
20377;194449625;5550375;300000
20378;194435175;5564825;300000
20379;194420727;5579273;300000
20380;194406281;5593719;300000
20381;194391836;5608164;300000
20382;194377392;5622608;300000
20383;194362950;5637050;300000
20384;194348509;5651491;300000
20385;194334069;5665931;300000
20386;194319631;5680369;300000
20387;194305194;5694806;300000
20388;194290759;5709241;300000
20389;194276325;5723675;300000
20390;194261893;5738107;300000
20391;194247462;5752538;300000
20392;194233033;5766967;300000
20393;194218604;5781396;300000
20394;194204178;5795822;300000
20395;194189752;5810248;300000
20396;194175328;5824672;300000
20397;194160906;5839094;300000
20398;194146485;5853515;300000
20399;194132065;5867935;300000
20400;194117647;5882353;300000
20401;194103230;5896770;300000
20402;194088815;5911185;300000
20403;194074401;5925599;300000
20404;194059988;5940012;300000
20405;194045577;5954423;300000
20406;194031167;5968833;300000
20407;194016759;5983241;300000
20408;194002352;5997648;300000
20409;193987946;6012054;300000
20410;193973542;6026458;300000
20411;193959140;6040860;300000
20412;193944738;6055262;300000
20413;193930339;6069661;300000
20414;193915940;6084060;300000
20415;193901543;6098457;300000
20416;193887147;6112853;300000
20417;193872753;6127247;300000
20418;193858360;6141640;300000
20419;193843969;6156031;300000
20420;193829579;6170421;300000
20421;193815190;6184810;300000
20422;193800803;6199197;300000
20423;193786417;6213583;300000
20424;193772033;6227967;300000
20425;193757650;6242350;300000
20426;193743268;6256732;300000
20427;193728888;6271112;300000
20428;193714509;6285491;300000
20429;193700132;6299868;300000
20430;193685756;6314244;300000
20431;193671382;6328618;300000
20432;193657009;6342991;300000
20433;193642637;6357363;300000
20434;193628267;6371733;300000
20435;193613898;6386102;300000
20436;193599530;6400470;300000
20437;193585164;6414836;300000
20438;193570799;6429201;300000
20439;193556436;6443564;300000
20440;193542074;6457926;300000
20441;193527714;6472286;300000
20442;193513355;6486645;300000
20443;193498997;6501003;300000
20444;193484641;6515359;300000
20445;193470286;6529714;300000
20446;193455933;6544067;300000
20447;193441581;6558419;300000
20448;193427230;6572770;300000
20449;193412881;6587119;300000
20450;193398533;6601467;300000
20451;193384187;6615813;300000
20452;193369842;6630158;300000
20453;193355498;6644502;300000
20454;193341156;6658844;300000
20455;193326815;6673185;300000
20456;193312476;6687524;300000
20457;193298138;6701862;300000
20458;193283801;6716199;300000
20459;193269466;6730534;300000
20460;193255132;6744868;300000
20461;193240800;6759200;300000
20462;193226469;6773531;300000
20463;193212139;6787861;300000
20464;193197811;6802189;300000
20465;193183484;6816516;300000
20466;193169159;6830841;300000
20467;193154835;6845165;300000
20468;193140512;6859488;300000
20469;193126191;6873809;300000
20470;193111871;6888129;300000
20471;193097553;6902447;300000
20472;193083236;6916764;300000
20473;193068920;6931080;300000
20474;193054606;6945394;300000
20475;193040293;6959707;300000
20476;193025982;6974018;300000
20477;193011672;6988328;300000
20478;192997363;7002637;300000
20479;192983056;7016944;300000
20480;192968750;7031250;300000
20481;192954446;7045554;300000
20482;192940143;7059857;300000
20483;192925841;7074159;300000
20484;192911541;7088459;300000
20485;192897242;7102758;300000
20486;192882944;7117056;300000
20487;192868648;7131352;300000
20488;192854354;7145646;300000
20489;192840061;7159939;300000
20490;192825769;7174231;300000
20491;192811478;7188522;300000
20492;192797189;7202811;300000
20493;192782901;7217099;300000
20494;192768615;7231385;300000
20495;192754330;7245670;300000
20496;192740047;7259953;300000
20497;192725765;7274235;300000
20498;192711484;7288516;300000
20499;192697205;7302795;300000
20500;192682927;7317073;300000
20501;192668650;7331350;300000
20502;192654375;7345625;300000
20503;192640101;7359899;300000
20504;192625829;7374171;300000
20505;192611558;7388442;300000
20506;192597289;7402711;300000
20507;192583020;7416980;300000
20508;192568754;7431246;300000
20509;192554488;7445512;300000
20510;192540224;7459776;300000
20511;192525962;7474038;300000
20512;192511700;7488300;300000
20513;192497441;7502559;300000
20514;192483182;7516818;300000
20515;192468925;7531075;300000
20516;192454670;7545330;300000
20517;192440415;7559585;300000
20518;192426162;7573838;300000
20519;192411911;7588089;300000
20520;192397661;7602339;300000
20521;192383412;7616588;300000
20522;192369165;7630835;300000
20523;192354919;7645081;300000
20524;192340674;7659326;300000
20525;192326431;7673569;300000
20526;192312189;7687811;300000
20527;192297949;7702051;300000
20528;192283710;7716290;300000
20529;192269472;7730528;300000
20530;192255236;7744764;300000
20531;192241001;7758999;300000
20532;192226768;7773232;300000
20533;192212536;7787464;300000
20534;192198305;7801695;300000
20535;192184076;7815924;300000
20536;192169848;7830152;300000
20537;192155622;7844378;300000
20538;192141396;7858604;300000
20539;192127173;7872827;300000
20540;192112950;7887050;300000
20541;192098729;7901271;300000
20542;192084510;7915490;300000
20543;192070292;7929708;300000
20544;192056075;7943925;300000
20545;192041859;7958141;300000
20546;192027645;7972355;300000
20547;192013433;7986567;300000
20548;191999221;8000779;300000
20549;191985011;8014989;300000
20550;191970803;8029197;300000
20551;191956596;8043404;300000
20552;191942390;8057610;300000
20553;191928186;8071814;300000
20554;191913983;8086017;300000
20555;191899781;8100219;300000
20556;191885581;8114419;300000
20557;191871382;8128618;300000
20558;191857185;8142815;300000
20559;191842988;8157012;300000
20560;191828794;8171206;300000
20561;191814600;8185400;300000
20562;191800409;8199591;300000
20563;191786218;8213782;300000
20564;191772029;8227971;300000
20565;191757841;8242159;300000
20566;191743655;8256345;300000
20567;191729470;8270530;300000
20568;191715286;8284714;300000
20569;191701104;8298896;300000
20570;191686923;8313077;300000
20571;191672743;8327257;300000
20572;191658565;8341435;300000
20573;191644388;8355612;300000
20574;191630213;8369787;300000
20575;191616039;8383961;300000
20576;191601866;8398134;300000
20577;191587695;8412305;300000
20578;191573525;8426475;300000
20579;191559357;8440643;300000
20580;191545190;8454810;300000
20581;191531024;8468976;300000
20582;191516859;8483141;300000
20583;191502696;8497304;300000
20584;191488535;8511465;300000
20585;191474375;8525625;300000
20586;191460216;8539784;300000
20587;191446058;8553942;300000
20588;191431902;8568098;300000
20589;191417747;8582253;300000
20590;191403594;8596406;300000
20591;191389442;8610558;300000
20592;191375291;8624709;300000
20593;191361142;8638858;300000
20594;191346994;8653006;300000
20595;191332848;8667152;300000
20596;191318703;8681297;300000
20597;191304559;8695441;300000
20598;191290417;8709583;300000
20599;191276276;8723724;300000
20600;191262136;8737864;300000
20601;191247998;8752002;300000
20602;191233861;8766139;300000
20603;191219725;8780275;300000
20604;191205591;8794409;300000
20605;191191458;8808542;300000
20606;191177327;8822673;300000
20607;191163197;8836803;300000
20608;191149068;8850932;300000
20609;191134941;8865059;300000
20610;191120815;8879185;300000
20611;191106691;8893309;300000
20612;191092567;8907433;300000
20613;191078446;8921554;300000
20614;191064325;8935675;300000
20615;191050206;8949794;300000
20616;191036088;8963912;300000
20617;191021972;8978028;300000
20618;191007857;8992143;300000
20619;190993744;9006256;300000
20620;190979631;9020369;300000
20621;190965521;9034479;300000
20622;190951411;9048589;300000
20623;190937303;9062697;300000
20624;190923196;9076804;300000
20625;190909091;9090909;300000
20626;190894987;9105013;300000
20627;190880884;9119116;300000
20628;190866783;9133217;300000
20629;190852683;9147317;300000
20630;190838585;9161415;300000
20631;190824487;9175513;300000
20632;190810392;9189608;300000
20633;190796297;9203703;300000
20634;190782204;9217796;300000
20635;190768112;9231888;300000
20636;190754022;9245978;300000
20637;190739933;9260067;300000
20638;190725846;9274154;300000
20639;190711759;9288241;300000
20640;190697674;9302326;300000
20641;190683591;9316409;300000
20642;190669509;9330491;300000
20643;190655428;9344572;300000
20644;190641349;9358651;300000
20645;190627271;9372729;300000
20646;190613194;9386806;300000
20647;190599119;9400881;300000
20648;190585045;9414955;300000
20649;190570972;9429028;300000
20650;190556901;9443099;300000
20651;190542831;9457169;300000
20652;190528762;9471238;300000
20653;190514695;9485305;300000
20654;190500629;9499371;300000
20655;190486565;9513435;300000
20656;190472502;9527498;300000
20657;190458440;9541560;300000
20658;190444380;9555620;300000
20659;190430321;9569679;300000
20660;190416263;9583737;300000
20661;190402207;9597793;300000
20662;190388152;9611848;300000
20663;190374099;9625901;300000
20664;190360046;9639954;300000
20665;190345996;9654004;300000
20666;190331946;9668054;300000
20667;190317898;9682102;300000
20668;190303851;9696149;300000
20669;190289806;9710194;300000
20670;190275762;9724238;300000
20671;190261719;9738281;300000
20672;190247678;9752322;300000
20673;190233638;9766362;300000
20674;190219599;9780401;300000
20675;190205562;9794438;300000
20676;190191526;9808474;300000
20677;190177492;9822508;300000
20678;190163459;9836541;300000
20679;190149427;9850573;300000
20680;190135397;9864603;300000
20681;190121367;9878633;300000
20682;190107340;9892660;300000
20683;190093313;9906687;300000
20684;190079288;9920712;300000
20685;190065265;9934735;300000
20686;190051242;9948758;300000
20687;190037221;9962779;300000
20688;190023202;9976798;300000
20689;190009184;9990816;300000
20690;189995167;10004833;300000
20691;189981151;10018849;300000
20692;189967137;10032863;300000
20693;189953124;10046876;300000
20694;189939113;10060887;300000
20695;189925103;10074897;300000
20696;189911094;10088906;300000
20697;189897087;10102913;300000
20698;189883080;10116920;300000
20699;189869076;10130924;300000
20700;189855072;10144928;300000
20701;189841070;10158930;300000
20702;189827070;10172930;300000
20703;189813071;10186929;300000
20704;189799073;10200927;300000
20705;189785076;10214924;300000
20706;189771081;10228919;300000
20707;189757087;10242913;300000
20708;189743094;10256906;300000
20709;189729103;10270897;300000
20710;189715113;10284887;300000
20711;189701125;10298875;300000
20712;189687138;10312862;300000
20713;189673152;10326848;300000
20714;189659168;10340832;300000
20715;189645185;10354815;300000
20716;189631203;10368797;300000
20717;189617223;10382777;300000
20718;189603244;10396756;300000
20719;189589266;10410734;300000
20720;189575290;10424710;300000
20721;189561315;10438685;300000
20722;189547341;10452659;300000
20723;189533369;10466631;300000
20724;189519398;10480602;300000
20725;189505428;10494572;300000
20726;189491460;10508540;300000
20727;189477493;10522507;300000
20728;189463528;10536472;300000
20729;189449563;10550437;300000
20730;189435601;10564399;300000
20731;189421639;10578361;300000
20732;189407679;10592321;300000
20733;189393720;10606280;300000
20734;189379763;10620237;300000
20735;189365807;10634193;300000
20736;189351852;10648148;300000
20737;189337898;10662102;300000
20738;189323946;10676054;300000
20739;189309996;10690004;300000
20740;189296046;10703954;300000
20741;189282098;10717902;300000
20742;189268152;10731848;300000
20743;189254206;10745794;300000
20744;189240262;10759738;300000
20745;189226320;10773680;300000
20746;189212378;10787622;300000
20747;189198438;10801562;300000
20748;189184500;10815500;300000
20749;189170562;10829438;300000
20750;189156627;10843373;300000
20751;189142692;10857308;300000
20752;189128759;10871241;300000
20753;189114827;10885173;300000
20754;189100896;10899104;300000
20755;189086967;10913033;300000
20756;189073039;10926961;300000
20757;189059113;10940887;300000
20758;189045187;10954813;300000
20759;189031264;10968736;300000
20760;189017341;10982659;300000
20761;189003420;10996580;300000
20762;188989500;11010500;300000
20763;188975582;11024418;300000
20764;188961664;11038336;300000
20765;188947749;11052251;300000
20766;188933834;11066166;300000
20767;188919921;11080079;300000
20768;188906009;11093991;300000
20769;188892099;11107901;300000
20770;188878190;11121810;300000
20771;188864282;11135718;300000
20772;188850376;11149624;300000
20773;188836470;11163530;300000
20774;188822567;11177433;300000
20775;188808664;11191336;300000
20776;188794763;11205237;300000
20777;188780863;11219137;300000
20778;188766965;11233035;300000
20779;188753068;11246932;300000
20780;188739172;11260828;300000
20781;188725278;11274722;300000
20782;188711385;11288615;300000
20783;188697493;11302507;300000
20784;188683603;11316397;300000
20785;188669714;11330286;300000
20786;188655826;11344174;300000
20787;188641940;11358060;300000
20788;188628055;11371945;300000
20789;188614171;11385829;300000
20790;188600289;11399711;300000
20791;188586408;11413592;300000
20792;188572528;11427472;300000
20793;188558650;11441350;300000
20794;188544773;11455227;300000
20795;188530897;11469103;300000
20796;188517023;11482977;300000
20797;188503149;11496851;300000
20798;188489278;11510722;300000
20799;188475407;11524593;300000
20800;188461538;11538462;300000
20801;188447671;11552329;300000
20802;188433804;11566196;300000
20803;188419939;11580061;300000
20804;188406076;11593924;300000
20805;188392213;11607787;300000
20806;188378352;11621648;300000
20807;188364493;11635507;300000
20808;188350634;11649366;300000
20809;188336777;11663223;300000
20810;188322922;11677078;300000
20811;188309067;11690933;300000
20812;188295214;11704786;300000
20813;188281363;11718637;300000
20814;188267512;11732488;300000
20815;188253663;11746337;300000
20816;188239816;11760184;300000
20817;188225969;11774031;300000
20818;188212124;11787876;300000
20819;188198280;11801720;300000
20820;188184438;11815562;300000
20821;188170597;11829403;300000
20822;188156757;11843243;300000
20823;188142919;11857081;300000
20824;188129082;11870918;300000
20825;188115246;11884754;300000
20826;188101412;11898588;300000
20827;188087579;11912421;300000
20828;188073747;11926253;300000
20829;188059916;11940084;300000
20830;188046087;11953913;300000
20831;188032260;11967740;300000
20832;188018433;11981567;300000
20833;188004608;11995392;300000
20834;187990784;12009216;300000
20835;187976962;12023038;300000
20836;187963141;12036859;300000
20837;187949321;12050679;300000
20838;187935502;12064498;300000
20839;187921685;12078315;300000
20840;187907869;12092131;300000
20841;187894055;12105945;300000
20842;187880242;12119758;300000
20843;187866430;12133570;300000
20844;187852619;12147381;300000
20845;187838810;12161190;300000
20846;187825002;12174998;300000
20847;187811196;12188804;300000
20848;187797391;12202609;300000
20849;187783587;12216413;300000
20850;187769784;12230216;300000
20851;187755983;12244017;300000
20852;187742183;12257817;300000
20853;187728384;12271616;300000
20854;187714587;12285413;300000
20855;187700791;12299209;300000
20856;187686997;12313003;300000
20857;187673203;12326797;300000
20858;187659411;12340589;300000
20859;187645621;12354379;300000
20860;187631831;12368169;300000
20861;187618043;12381957;300000
20862;187604257;12395743;300000
20863;187590471;12409529;300000
20864;187576687;12423313;300000
20865;187562904;12437096;300000
20866;187549123;12450877;300000
20867;187535343;12464657;300000
20868;187521564;12478436;300000
20869;187507787;12492213;300000
20870;187494011;12505989;300000
20871;187480236;12519764;300000
20872;187466462;12533538;300000
20873;187452690;12547310;300000
20874;187438919;12561081;300000
20875;187425150;12574850;300000
20876;187411381;12588619;300000
20877;187397615;12602385;300000
20878;187383849;12616151;300000
20879;187370085;12629915;300000
20880;187356322;12643678;300000
20881;187342560;12657440;300000
20882;187328800;12671200;300000
20883;187315041;12684959;300000
20884;187301283;12698717;300000
20885;187287527;12712473;300000
20886;187273772;12726228;300000
20887;187260018;12739982;300000
20888;187246266;12753734;300000
20889;187232515;12767485;300000
20890;187218765;12781235;300000
20891;187205017;12794983;300000
20892;187191269;12808731;300000
20893;187177524;12822476;300000
20894;187163779;12836221;300000
20895;187150036;12849964;300000
20896;187136294;12863706;300000
20897;187122553;12877447;300000
20898;187108814;12891186;300000
20899;187095076;12904924;300000
20900;187081340;12918660;300000
20901;187067604;12932396;300000
20902;187053870;12946130;300000
20903;187040138;12959862;300000
20904;187026406;12973594;300000
20905;187012676;12987324;300000
20906;186998948;13001052;300000
20907;186985220;13014780;300000
20908;186971494;13028506;300000
20909;186957769;13042231;300000
20910;186944046;13055954;300000
20911;186930324;13069676;300000
20912;186916603;13083397;300000
20913;186902883;13097117;300000
20914;186889165;13110835;300000
20915;186875448;13124552;300000
20916;186861733;13138267;300000
20917;186848018;13151982;300000
20918;186834305;13165695;300000
20919;186820594;13179406;300000
20920;186806883;13193117;300000
20921;186793174;13206826;300000
20922;186779467;13220533;300000
20923;186765760;13234240;300000
20924;186752055;13247945;300000
20925;186738351;13261649;300000
20926;186724649;13275351;300000
20927;186710948;13289052;300000
20928;186697248;13302752;300000
20929;186683549;13316451;300000
20930;186669852;13330148;300000
20931;186656156;13343844;300000
20932;186642461;13357539;300000
20933;186628768;13371232;300000
20934;186615076;13384924;300000
20935;186601385;13398615;300000
20936;186587696;13412304;300000
20937;186574008;13425992;300000
20938;186560321;13439679;300000
20939;186546635;13453365;300000
20940;186532951;13467049;300000
20941;186519268;13480732;300000
20942;186505587;13494413;300000
20943;186491907;13508093;300000
20944;186478228;13521772;300000
20945;186464550;13535450;300000
20946;186450874;13549126;300000
20947;186437199;13562801;300000
20948;186423525;13576475;300000
20949;186409852;13590148;300000
20950;186396181;13603819;300000
20951;186382512;13617488;300000
20952;186368843;13631157;300000
20953;186355176;13644824;300000
20954;186341510;13658490;300000
20955;186327845;13672155;300000
20956;186314182;13685818;300000
20957;186300520;13699480;300000
20958;186286859;13713141;300000
20959;186273200;13726800;300000
20960;186259542;13740458;300000
20961;186245885;13754115;300000
20962;186232230;13767770;300000
20963;186218576;13781424;300000
20964;186204923;13795077;300000
20965;186191271;13808729;300000
20966;186177621;13822379;300000
20967;186163972;13836028;300000
20968;186150324;13849676;300000
20969;186136678;13863322;300000
20970;186123033;13876967;300000
20971;186109389;13890611;300000
20972;186095747;13904253;300000
20973;186082106;13917894;300000
20974;186068466;13931534;300000
20975;186054827;13945173;300000
20976;186041190;13958810;300000
20977;186027554;13972446;300000
20978;186013919;13986081;300000
20979;186000286;13999714;300000
20980;185986654;14013346;300000
20981;185973023;14026977;300000
20982;185959394;14040606;300000
20983;185945766;14054234;300000
20984;185932139;14067861;300000
20985;185918513;14081487;300000
20986;185904889;14095111;300000
20987;185891266;14108734;300000
20988;185877644;14122356;300000
20989;185864024;14135976;300000
20990;185850405;14149595;300000
20991;185836787;14163213;300000
20992;185823171;14176829;300000
20993;185809556;14190444;300000
20994;185795942;14204058;300000
20995;185782329;14217671;300000
20996;185768718;14231282;300000
20997;185755108;14244892;300000
20998;185741499;14258501;300000
20999;185727892;14272108;300000
21000;185714286;14285714;300000
